Number,Achievement,District,Students,Rating
'187910,81,Onalaska Isd,1110,B
'188901,85,Amarillo Isd,32771,B
'188902,79,River Road Isd,1277,C
'188903,82,Highland Park Isd,893,B
'188904,92,Bushland Isd,1451,A
'189902,83,Presidio Isd,1242,B
'190903,77,Rains Isd,1697,C
'191901,90,Canyon Isd,9962,B
'192901,76,Reagan County Isd,854,C
'194902,83,Avery Isd,358,B
'194903,84,Rivercrest Isd,693,B
'194904,71,Clarksville Isd,541,C
'194905,79,Detroit Isd,522,B
'195901,68,Pecos-Barstow-Toyah Isd,2630,D
'198901,86,Bremond Isd,507,B
'198903,86,Franklin Isd,1253,A
'198905,55,Hearne Isd,862,F
'198906,87,Mumford Isd,616,A
'199901,92,Rockwall Isd,16184,A
'199902,80,Royse City Isd,5733,B
'200901,78,Ballinger Isd,901,C
'200902,91,Miles Isd,445,A
'200904,79,Winters Isd,543,C
'200906,82,Olfen Isd,102,B
'201902,82,Henderson Isd,3433,B
'201904,81,Leveretts Chapel Isd,259,A
'201907,75,Mount Enterprise Isd,412,C
'201908,74,Overton Isd,524,D
'201910,81,Tatum Isd,1613,B
'201914,75,West Rusk County Consolidated Isd,1079,C
'202903,80,Hemphill Isd,897,B
'202905,68,West Sabine Isd,665,D
'203901,74,San Augustine Isd,762,C
'203902,77,Broaddus Isd,409,C
'204904,61,Shepherd Isd,2015,D
'205904,82,Mathis Isd,1625,B
'205905,72,Odem-Edroy Isd,988,C
'205906,78,Sinton Isd,2199,C
'206901,83,San Saba Isd,734,B
'207901,83,Schleicher Isd,554,B
'208902,74,Snyder Isd,2695,C
'209901,83,Albany Isd,507,B
'210901,68,Center Isd,2661,C
'210902,78,Joaquin Isd,715,C
'211902,80,Stratford Isd,590,B
'212901,78,Arp Isd,899,C
'212902,86,Bullard Isd,2556,B
'212903,93,Lindale Isd,4073,A
'212904,79,Troup Isd,1081,C
'212905,78,Tyler Isd,17979,C
'212906,89,Whitehouse Isd,4725,B
'212909,77,Chapel Hill Isd,3553,B
'212910,63,Winona Isd,1073,C
'213901,90,Glen Rose Isd,1803,A
'214901,76,Rio Grande City Cisd,10433,C
'214902,82,San Isidro Isd,238,B
'214903,84,Roma Isd,6355,A
'215901,80,Breckenridge Isd,1499,C
'216901,79,Sterling City Isd,305,B
'217901,81,Aspermont Isd,227,C
'218901,85,Sonora Isd,815,B
'219901,93,Happy Isd,262,A
'219903,65,Tulia Isd,1096,D
'219905,81,Kress Isd,251,B
'220901,73,Arlington Isd,61020,C
'220902,86,Birdville Isd,23607,B
'220904,68,Everman Isd,5822,C
'220905,70,Fort Worth Isd,86039,C
'220906,93,Grapevine-Colleyville Isd,13924,A
'220907,90,Keller Isd,34856,A
'220908,89,Mansfield Isd,34983,A
'220910,69,Lake Worth Isd,3347,D
'220912,71,Crowley Isd,15203,C
'220914,83,Kennedale Isd,3118,B
'220915,83,Azle Isd,6481,B
'220916,91,Hurst-Euless-Bedford Isd,23364,A
'220917,71,Castleberry Isd,3904,C
'220918,83,Eagle Mt-Saginaw Isd,19251,B
'220919,96,Carroll Isd,8341,A
'220920,79,White Settlement Isd,6842,C
'221901,84,Abilene Isd,16760,B
'221904,72,Merkel Isd,1168,D
'221911,91,Jim Ned Cisd,1216,A
'221912,93,Wylie Isd,4405,A
'223901,68,Brownfield Isd,1752,D
'225902,83,Mount Pleasant Isd,5289,B
'225906,89,Chapel Hill Isd,1035,A
'226901,83,Christoval Isd,523,B
'226903,78,San Angelo Isd,14567,C
'226905,85,Water Valley Isd,363,B
'226906,95,Wall Isd,1132,A
'226907,71,Grape Creek Isd,1134,D
'226908,77,Veribest Isd,269,B
'227901,87,Austin Isd,81346,B
'227904,87,Pflugerville Isd,25269,B
'227907,70,Manor Isd,9061,D
'227909,95,Eanes Isd,8055,A
'227910,68,Del Valle Isd,11169,D
'227912,86,Lago Vista Isd,1472,B
'227913,93,Lake Travis Isd,10382,A
'228901,82,Groveton Isd,768,B
'228903,60,Trinity Isd,1236,C
'228905,77,Apple Springs Isd,197,C
'229901,83,Colmesneil Isd,475,B
'229903,77,Woodville Isd,1339,C
'229904,77,Warren Isd,1301,C
'229906,80,Chester Isd,206,C
'230901,75,Big Sandy Isd,715,C
'230902,84,Gilmer Isd,2432,B
'230903,75,Ore City Isd,939,B
'230904,75,Union Hill Isd,376,C
'230905,83,Harmony Isd,1074,B
'230906,72,New Diana Isd,1099,C
'230908,89,Union Grove Isd,740,A
'231901,71,Mccamey Isd,555,B
'231902,87,Rankin Isd,309,B
'232902,67,Sabinal Isd,467,D
'232903,59,Uvalde Cisd,4457,F
'233901,79,San Felipe-Del Rio Cisd,10560,B
'234902,90,Canton Isd,2177,B
'234903,83,Edgewood Isd,985,B
'234904,84,Grand Saline Isd,1103,B
'234905,91,Martins Mill Isd,531,A
'234906,87,Van Isd,2419,B
'234907,77,Wills Point Isd,2414,C
'234909,80,Fruitvale Isd,450,C
'236901,79,New Waverly Isd,1066,B
'236902,65,Huntsville Isd,8257,F
'237902,66,Hempstead Isd,1593,C
'237904,88,Waller Isd,7122,A
'238902,70,Monahans-Wickett-Pyote Isd,2317,D
'239901,81,Brenham Isd,5013,C
'239903,83,Burton Isd,455,B
'240901,77,Laredo Isd,24022,B
'240903,87,United Isd,43212,A
'240904,79,Webb Cisd,270,C
'241902,93,East Bernard Isd,949,A
'241906,77,Louise Isd,518,C
'242902,75,Shamrock Isd,424,C
'243901,77,Burkburnett Isd,3241,C
'243902,86,Electra Isd,414,B
'243903,88,Iowa Park Cisd,1833,B
'243905,79,Wichita Falls Isd,14072,C
'243906,81,City View Isd,1057,C
'244903,72,Vernon Isd,1985,D
'245901,80,Lasara Isd,410,B
'245902,81,Lyford Cisd,1551,B
'245903,73,Raymondville Isd,2083,B
'245904,84,San Perlita Isd,262,B
'246902,74,Florence Isd,1046,C
'246904,83,Georgetown Isd,11508,B
'246906,80,Hutto Isd,7218,C
'246907,79,Jarrell Isd,1698,C
'246908,92,Liberty Hill Isd,4013,A
'246909,91,Round Rock Isd,48919,A
'246911,77,Taylor Isd,3190,C
'246912,85,Thrall Isd,696,B
'246913,93,Leander Isd,38936,B
'247901,83,Floresville Isd,4012,B
'247903,86,La Vernia Isd,3361,B
